Date,Description,Amount,Category
2026-08-01,Weekly Allowance from Parents,150.00,Income
2026-08-02,Campus Dorm Rent,-450.00,Rent
2026-08-03,Woolworths Grocery Run,-42.75,Groceries
2026-08-04,Part-time Job Pay - Cafe Shift,220.00,Part-time Pay
2026-08-05,Bus Pass Top-up,-30.00,Transport
2026-08-06,Coffee at Campus Cafe,-4.50,Coffee
2026-08-07,Used Textbook Purchase,-55.00,Textbooks
2026-08-08,Coffee with Classmates,-4.50,Coffee
2026-08-09,Coles Grocery Shop,-38.20,Groceries
2026-08-10,Textbook Refund (Wrong Edition),25.00,Refund
2026-08-11,Part-time Job Pay - Cafe Shift,220.00,Part-time Pay
2026-08-12,Uber Ride to Airport,-28.90,Transport
2026-08-13,Coffee at Campus Cafe,-4.50,Coffee
2026-08-14,Weekly Allowance from Parents,150.00,Income
2026-08-15,Grocery Shop - Coles,-46.10,Groceries
